1,2,3,4,5,6
七台河,QTLF0BL131110GJGX-20,QTLF0BL131110GJGX-20-1A1,131110,ENABLED,17898
七台河,QTLF0BL131111GJGX-20,QTLF0BL131111GJGX-20-1AT,131111,ENABLED,1015
七台河,QTLF0BL131117GJGX-20,QTLF0BL131117GJGX-20-1B1,131117,ENABLED,17898
七台河,QTLF0BL131144GJGX-20,QTLF0BL131144GJGX-20-1A1,131144,ENABLED,17898
七台河,QTLF0BL131085GJGX-20,QTLF0BL131085GJGX-20-1AT,131085,ENABLED,1015
七台河,QTLF0BL131158GJGX-20,QTLF0BL131158GJGX-20-1CT,131158,DISABLED,17898
七台河,QTLF0QZ131156GJGX-20,QTLF0QZ131156GJGX-20-1AM,131156,ENABLED,60662
七台河,QTLF0BL131158GJGX-20,QTLF0BL131158GJGX-20-1C1,131158,ENABLED,17898
七台河,QTLF0BL131110GJGX-20,QTLF0BL131110GJGX-20-1AT,131110,ENABLED,1015
七台河,QTLF0BL131120GJGX-20,QTLF0BL131120GJGX-20-1CT,131120,ENABLED,1015
七台河,QTLF0BL131110GJGX-20,QTLF0BL131110GJGX-20-2A1,131110,ENABLED,17898
七台河,QTLF0BL131111GJGX-20,QTLF0BL131111GJGX-20-1A1,131111,ENABLED,17898
七台河,QTLF0BL131144GJGX-20,QTLF0BL131144GJGX-20-1AT,131144,ENABLED,1016
七台河,QTLF0BL131117GJGX-20,QTLF0BL131117GJGX-20-1BT,131117,ENABLED,1015
七台河,QTLF0QZ131145GJGX-20,QTLF0QZ131145GJGX-20-1AT,131145,ENABLED,1008
七台河,QTLF0BL131084GJGX-20,QTLF0BL131084GJGX-20-1C1,131084,ENABLED,17898
七台河,QTLF0BL131084GJGX-20,QTLF0BL131084GJGX-20-1AT,131084,ENABLED,1015
七台河,QTLF0BL131082GJGX-20,QTLF0BL131082GJGX-20-1AT,131082,ENABLED,1015
七台河,QTLF0BL131082GJGX-20,QTLF0BL131082GJGX-20-1A1,131082,ENABLED,17898
七台河,QTLF0QZ131145GJGX-20,QTLF0QZ131145GJGX-20-1A1,131145,ENABLED,17898
七台河,QTLF0BL131084GJGX-20,QTLF0BL131084GJGX-20-1CT,131084,ENABLED,1015
七台河,QTLF0QZ131161GJGX-20,QTLF0QZ131161GJGX-20-1BT,131161,ENABLED,1008
七台河,QTLF0BL131084GJGX-20,QTLF0BL131084GJGX-20-2CT,131084,ENABLED,1015
七台河,QTLF0QZ131083GJGX-20,QTLF0QZ131083GJGX-20-1C1,131083,ENABLED,17897
七台河,QTLF0QZ968010,QTLF0QZ968010-1A1,968010,ENABLED,17898
七台河,QTLF0BL131136GJGX-20,QTLF0BL131136GJGX-20-1BT,131136,ENABLED,1015
七台河,QTLF0QZ131161GJGX-20,QTLF0QZ131161GJGX-20-1B1,131161,ENABLED,17897
七台河,QTLF0BL131084GJGX-20,QTLF0BL131084GJGX-20-2C1,131084,ENABLED,17898
七台河,QTLF0QZ131083GJGX-20,QTLF0QZ131083GJGX-20-1CT,131083,ENABLED,1008
七台河,QTLF0QZ131154GJGX-20,QTLF0QZ131154GJGX-20-2C1,131154,ENABLED,17898
七台河,QTLF0QZ968004GJGX-20,QTLF0QZ968004GJGX-20-2AT,968004,ENABLED,1008
七台河,QTLF0BL131117GJGX-20,QTLF0BL131117GJGX-20-2CT,131117,ENABLED,1015
七台河,QTLF0BL131102GJGX-20,QTLF0BL131102GJGX-20-1BT,131102,ENABLED,1015
七台河,QTLF0BL131087GJGX-20,QTLF0BL131087GJGX-20-1B1,131087,ENABLED,17898
七台河,QTLF0QZ131098GJGX-20,QTLF0QZ131098GJGX-20-1C1,131098,ENABLED,17898
七台河,QTLF0BL131102GJGX-20,QTLF0BL131102GJGX-20-1B1,131102,ENABLED,17898
七台河,QTLF0BL131117GJGX-20,QTLF0BL131117GJGX-20-2C1,131117,ENABLED,17898
七台河,QTLF0BL131087GJGX-20,QTLF0BL131087GJGX-20-1BT,131087,DISABLED,1015
七台河,QTLF0QZ131098GJGX-20,QTLF0QZ131098GJGX-20-1CT,131098,ENABLED,1008
七台河,QTLF0BL131131GJGX-20,QTLF0BL131131GJGX-20-1A1,131131,ENABLED,17898
七台河,QTLF0QZ968004GJGX-20,QTLF0QZ968004GJGX-20-2A1,968004,ENABLED,17898
七台河,QTLF0QZ131156GJGX-20,QTLF0QZ131156GJGX-20-1BM,131156,ENABLED,60662
七台河,QTLF0BL131107GJGX-20,QTLF0BL131107GJGX-20-2AT,131107,ENABLED,1015
七台河,QTLF0QZ131153GJGX-20,QTLF0QZ131153GJGX-20-1CT,131153,ENABLED,1008
七台河,QTLF0BL131133GJGX-20,QTLF0BL131133GJGX-20-2AT,131133,ENABLED,1015
七台河,QTLF0BL131103GJGX-20,QTLF0BL131103GJGX-20-2B1,131103,ENABLED,17898
七台河,QTLF0BL131117GJGX-20,QTLF0BL131117GJGX-20-1CT,131117,ENABLED,1015
七台河,QTLF0BL131085GJGX-20,QTLF0BL131085GJGX-20-1A1,131085,ENABLED,17898
七台河,QTLF0QZ131153GJGX-20,QTLF0QZ131153GJGX-20-1C1,131153,ENABLED,17898
七台河,QTLF0BL131133GJGX-20,QTLF0BL131133GJGX-20-2A1,131133,ENABLED,17898
七台河,QTLF0BL131103GJGX-20,QTLF0BL131103GJGX-20-2BT,131103,ENABLED,1015
七台河,QTLF0BL131117GJGX-20,QTLF0BL131117GJGX-20-1C1,131117,ENABLED,17898
七台河,QTLF0BL131107GJGX-20,QTLF0BL131107GJGX-20-2A1,131107,ENABLED,17898
七台河,QTLF0BL131123GJGX-20,QTLF0BL131123GJGX-20-1C1,131123,ENABLED,17898
七台河,QTLF0BL131111GJGX-20,QTLF0BL131111GJGX-20-1B1,131111,ENABLED,17898
七台河,QTLF0BL131158GJGX-20,QTLF0BL131158GJGX-20-1BT,131158,DISABLED,17898
七台河,QTLF0QZ131162GJGX-20,QTLF0QZ131162GJGX-20-2A1,131162,ENABLED,17897
七台河,QTLF0BL131084GJGX-20,QTLF0BL131084GJGX-20-1BT,131084,ENABLED,1015
七台河,QTLF0BL131120GJGX-20,QTLF0BL131120GJGX-20-1C1,131120,ENABLED,17898
七台河,QTLF0BL131131GJGX-20,QTLF0BL131131GJGX-20-1AT,131131,ENABLED,1015
七台河,QTLF0XX131174GJGX-20,QTLF0XX131174GJGX-20-1C1,131174,ENABLED,17897
七台河,QTLF0QZ131162GJGX-20,QTLF0QZ131162GJGX-20-2AT,131162,ENABLED,1008
七台河,QTLF0BL131084GJGX-20,QTLF0BL131084GJGX-20-1B1,131084,ENABLED,17898
七台河,QTLF0XX131174GJGX-20,QTLF0XX131174GJGX-20-1CT,131174,DISABLED,1013
七台河,QTLF0XX131175GJGX-20,QTLF0XX131175GJGX-20-1C1,131175,ENABLED,17897
七台河,QTLF0BL131158GJGX-20,QTLF0BL131158GJGX-20-1B1,131158,ENABLED,17898
七台河,QTLF0BL131111GJGX-20,QTLF0BL131111GJGX-20-1BT,131111,ENABLED,1015
七台河,QTLF0BL131101GJGX-20,QTLF0BL131101GJGX-20-2B1,131101,ENABLED,17898
七台河,QTLF0BL131108GJGX-20,QTLF0BL131108GJGX-20-1A1,131108,ENABLED,17898
七台河,QTLF0QZ131145GJGX-20,QTLF0QZ131145GJGX-20-1B1,131145,ENABLED,17898
七台河,QTLF0QZ131083GJGX-20,QTLF0QZ131083GJGX-20-1BT,131083,ENABLED,1008
七台河,QTLF0QZ131145GJGX-20,QTLF0QZ131145GJGX-20-1BT,131145,ENABLED,1008
